donor_id,day_of_week,hour_of_day,past_avg_quantity,surplus_quantity
6,6,22,10.98,15.71
10,5,14,15.5,17.64
3,6,14,19.77,20.41
6,6,20,9.16,15.41
4,2,14,49.3,50.28
1,6,21,37.72,41.04
8,2,16,17.26,22.17
4,0,15,50.72,48.38
2,6,16,66.44,63.23
9,2,12,47.64,49.97
3,4,16,20.48,23.27
6,5,19,13.68,5.37
2,3,15,42.36,39.88
1,4,22,31.72,37.96
4,2,20,50.94,60.84
6,4,19,11.34,11.33
5,4,16,43.84,43.89
5,4,14,47.07,46.32
7,5,14,54.16,53.42
9,6,12,63.97,62.43
10,4,19,16.35,13.36
4,4,21,76.34,93.72
3,5,13,22.17,19.22
10,2,13,9.73,13.74
5,1,15,30.37,30.46
8,4,13,28.86,22.99
10,1,20,12.04,11.93
1,6,13,33.96,35.31
9,3,12,43.82,39.78
2,3,14,37.89,41.18
9,4,19,62.02,68.01
10,6,22,17.45,13.52
8,1,21,20.77,19.03
5,6,22,45.11,49.91
8,0,16,21.35,20.22
9,0,14,46.2,46.43
3,5,15,20.6,22.35
9,3,20,46.08,56.12
7,6,12,53.0,57.65
7,3,12,34.56,36.97
7,6,20,54.42,59.29
10,1,21,13.58,14.31
1,3,19,22.66,22.82
3,6,21,17.96,29.15
9,0,20,43.79,48.66
2,5,20,66.26,76.58
1,2,20,26.46,27.46
6,6,20,15.63,12.71
7,2,13,35.46,30.92
1,2,15,22.88,22.44
1,6,12,34.69,36.58
1,4,14,36.69,35.2
2,4,15,65.25,63.12
6,1,13,9.12,10.26
5,0,12,29.15,32.95
7,3,15,36.06,38.4
4,0,16,48.36,52.0
2,6,12,66.3,63.48
6,0,22,9.81,11.26
7,6,21,57.35,68.26
8,5,14,28.96,24.26
5,4,22,43.34,52.18
10,2,19,9.73,14.81
2,2,21,41.68,46.11
10,5,20,17.5,16.89
6,1,21,12.61,12.55
6,2,16,9.38,7.17
4,0,15,48.29,49.46
4,5,21,78.62,90.23
1,0,16,27.26,25.68
5,5,19,45.31,41.97
7,5,22,57.04,61.36
5,2,16,32.38,30.49
6,0,22,9.3,15.15
4,1,21,51.97,56.95
9,4,16,62.65,67.69
5,1,19,30.23,30.18
9,1,16,45.14,45.8
5,5,14,43.09,42.29
2,6,12,64.24,62.48
8,2,14,19.75,21.86
8,0,13,20.34,19.2
1,1,14,21.61,27.29
2,1,13,39.44,37.58
10,6,15,14.55,16.39
8,2,20,21.96,21.81
10,5,13,15.67,17.61
4,2,13,50.77,50.85
2,1,12,41.25,36.79
8,2,12,22.33,20.45
8,0,15,18.78,23.91
10,5,15,16.85,13.21
3,2,14,15.39,16.36
5,4,16,45.63,42.39
5,5,20,44.38,54.51
8,3,13,18.18,15.72
6,4,16,12.18,13.78
10,4,12,15.99,19.73
5,4,12,44.07,45.13
9,5,21,62.52,73.82
10,3,21,11.67,16.56
7,2,19,32.4,32.63
6,3,21,13.51,10.07
9,0,21,45.6,53.37
2,6,20,62.9,77.83
1,5,22,35.12,39.44
9,2,21,43.2,48.77
4,2,22,50.91,58.9
8,0,12,19.65,23.38
4,5,14,80.23,79.85
7,0,15,34.84,40.52
8,0,14,20.02,16.03
9,5,16,63.87,60.53
8,1,21,19.53,20.67
10,4,14,15.09,17.32
7,2,22,35.11,40.23
5,6,21,43.78,53.55
8,2,19,19.4,17.03
8,2,15,19.87,21.83
7,1,20,35.67,44.23
7,3,14,35.01,34.31
9,4,19,60.77,66.48
8,0,22,19.86,23.37
3,3,14,16.19,18.89
5,2,20,27.63,31.62
9,3,19,42.76,41.35
8,6,22,28.13,33.12
5,1,13,30.28,28.96
2,3,14,36.96,38.14
1,2,12,26.4,24.35
3,1,22,16.19,14.03
3,1,14,16.44,19.45
10,5,15,16.03,12.69
4,3,16,50.56,46.41
8,2,22,21.36,24.48
6,4,16,10.79,10.31
5,3,16,31.4,30.77
8,0,15,20.96,18.27
5,5,16,45.39,49.66
7,2,12,34.08,31.52
1,4,21,32.19,42.94
4,4,19,80.96,80.31
5,5,14,42.66,41.26
1,2,21,25.3,31.08
3,0,16,16.38,13.8
4,1,22,49.0,59.2
9,2,14,47.8,44.8
8,6,16,26.64,27.95
2,3,13,43.02,44.13
7,6,22,56.98,60.31
1,2,22,26.01,30.46
5,4,20,41.8,54.36
2,5,15,65.37,61.58
9,2,15,43.29,42.87
8,5,16,27.4,27.26
1,0,16,24.98,26.24
4,4,14,80.93,78.16
9,3,14,43.56,47.74
8,4,20,27.55,34.08
6,1,21,10.37,9.77
6,0,19,8.86,3.37
6,0,20,13.89,10.44
8,0,15,18.43,17.88
1,0,19,25.78,25.05
10,1,13,10.33,13.53
10,1,15,12.75,11.33
10,0,16,11.35,12.88
3,4,16,19.31,20.36
1,1,12,27.06,22.23
10,2,12,12.44,12.38
7,4,13,53.29,54.92
6,4,13,12.32,10.31
10,0,22,14.04,12.66
1,0,21,23.71,30.26
2,3,21,40.27,46.92
10,1,13,13.5,14.46
10,4,19,17.38,13.53
5,3,22,29.58,33.6
2,6,22,63.97,74.43
8,1,20,21.4,21.54
7,5,13,56.2,54.17
5,2,14,28.43,28.9
2,6,13,65.37,65.94
6,6,14,11.31,8.88
9,4,19,61.65,61.76
7,6,12,54.6,58.32
6,0,22,12.13,12.35
4,6,13,81.55,78.12
2,6,16,63.78,60.95
9,6,22,63.57,78.12
5,0,14,32.52,29.38
6,2,12,10.76,10.58
7,0,14,31.0,34.62
2,5,22,66.53,75.32
6,1,19,11.23,9.16
10,4,13,15.42,17.08
10,0,13,14.19,11.49
8,4,21,28.54,30.71
9,0,19,45.52,43.15
10,3,22,11.6,13.42
7,4,12,55.06,57.12
4,6,14,78.76,80.18
2,0,21,39.07,45.97
7,4,15,55.0,50.27
6,0,20,9.66,11.97
1,3,13,23.5,27.12
10,3,20,13.48,13.17
6,1,21,7.07,14.27
2,3,13,42.0,40.14
9,0,20,43.2,54.59
4,2,14,50.98,53.14
9,4,15,62.22,64.92
3,1,13,15.79,16.0
10,1,13,14.32,13.9
8,3,21,17.18,20.83
10,2,19,12.46,12.55
8,5,16,26.08,28.96
6,4,13,13.53,10.98
1,2,16,26.39,29.43
2,4,22,66.31,72.29
1,3,15,26.54,23.77
3,0,21,16.95,21.51
6,5,13,11.97,10.46
4,5,21,79.9,95.04
10,1,19,12.88,10.58
7,6,19,54.56,54.65
6,0,19,11.26,13.12
5,2,14,31.72,28.35
3,2,16,14.53,18.79
7,1,13,36.36,34.11
6,6,14,9.53,9.74
9,0,20,44.98,51.27
5,1,15,32.14,27.68
4,1,14,51.04,51.18
2,4,22,62.32,77.39
1,5,19,33.54,37.47
10,3,14,14.41,14.47
10,6,14,15.56,15.87
6,5,15,11.61,15.37
8,1,22,23.88,23.44
8,6,15,30.68,23.91
8,3,16,18.25,20.52
7,1,15,34.22,35.43
5,0,21,28.64,36.74
2,5,22,64.01,75.97
3,2,21,14.53,18.42
7,0,15,32.15,37.11
1,3,12,25.88,23.07
7,0,19,36.3,35.35
2,6,19,64.21,65.35
5,6,21,44.23,51.3
8,3,12,19.84,20.41
4,6,14,79.27,76.16
9,3,13,43.91,45.3
2,0,15,41.29,36.11
8,0,13,18.49,21.52
9,0,22,43.92,48.2
5,3,12,29.27,28.61
7,1,13,34.79,32.66
9,4,22,61.26,73.12
1,3,21,25.4,31.13
6,2,12,10.44,9.42
4,5,13,77.58,80.55
6,1,12,11.09,8.64
3,6,21,19.79,25.83
3,6,14,21.0,23.99
8,0,16,22.53,21.33
1,2,16,24.56,17.52
9,3,16,45.49,48.51
5,2,12,28.99,31.49
2,6,19,65.59,62.67
8,3,19,19.71,22.89
8,2,22,20.62,22.89
7,0,20,33.33,36.53
9,2,19,45.8,46.78
5,2,21,29.05,32.39
8,2,21,20.8,27.87
6,4,20,16.15,12.73
1,0,20,27.04,25.81
3,0,14,13.16,17.19
8,0,14,21.07,23.96
6,2,20,9.88,12.11
3,5,21,19.54,25.29
2,4,14,64.72,62.52
5,1,13,30.16,31.58
9,3,22,46.75,54.94
8,1,16,14.89,16.87
4,0,14,48.69,51.65
8,0,19,17.95,18.06
9,4,16,61.15,66.79
3,6,19,19.96,18.73
4,6,14,81.74,80.24
6,4,19,12.87,5.01
3,4,13,20.61,22.31
8,4,20,25.23,32.76
2,1,19,38.72,38.29
9,2,14,43.19,48.13
10,1,14,13.35,6.99
1,6,13,34.86,32.88
3,2,15,17.94,11.63
5,6,13,47.13,44.99
9,2,14,43.54,42.56
2,4,14,63.92,62.24
3,5,19,18.39,21.77
1,0,12,24.18,29.07
5,5,15,43.45,45.28
1,3,22,28.64,27.2
8,1,20,20.56,22.71
1,1,21,25.85,26.34
6,4,14,14.21,10.48
6,3,14,8.2,10.2
2,2,15,40.25,38.07
4,1,13,51.13,55.73
10,3,15,11.25,17.24
6,4,19,12.82,12.54
9,3,21,43.79,53.88
2,3,22,40.3,44.21
10,2,12,12.55,14.78
8,2,22,20.04,24.19
3,2,19,13.57,15.21
7,0,22,36.79,41.33
2,3,22,40.58,42.99
10,5,13,16.49,16.78
6,6,19,11.49,9.77
3,1,22,15.25,16.67
1,1,19,23.29,26.01
3,4,22,22.67,26.69
6,1,20,9.86,15.59
5,4,19,44.92,42.02
8,5,16,28.04,27.55
6,5,13,11.75,15.28
1,4,21,37.18,39.89
10,4,15,14.05,15.41
3,4,20,21.81,25.26
1,4,13,36.51,35.98
7,1,20,33.56,39.31
10,3,12,10.26,11.17
9,2,21,44.79,49.61
3,3,22,16.17,15.97
5,4,21,46.06,52.42
9,2,15,43.47,51.62
5,5,15,43.38,43.94
8,2,22,18.92,27.07
5,2,13,29.16,27.2
7,6,19,54.24,59.34
5,0,16,29.83,30.97
8,5,16,26.96,27.97
9,2,22,44.23,51.3
10,5,15,18.23,16.18
9,1,15,45.5,47.44
8,0,14,20.06,23.16
3,3,21,15.14,15.6
5,2,16,27.4,26.68
2,5,15,64.47,61.09
1,1,20,24.37,29.9
1,6,20,34.06,40.63
5,0,12,31.94,28.98
6,2,21,9.87,14.62
8,1,22,20.2,21.4
2,2,14,37.85,39.57
3,0,19,13.12,15.82
4,1,20,48.4,58.9
2,3,13,40.76,40.55
6,1,12,11.1,9.88
5,2,16,29.03,27.17
5,5,19,44.5,44.68
2,3,16,41.93,42.04
5,5,13,42.27,41.18
6,4,15,12.79,12.26
3,3,19,15.96,12.28
8,6,22,25.34,33.7
4,5,13,79.71,76.98
6,0,13,10.71,12.91
9,1,22,46.08,53.06
9,3,13,42.84,43.32
8,0,22,20.17,22.2
3,4,20,20.14,22.17
8,5,16,26.52,27.58
1,5,15,34.78,34.33
6,5,13,11.86,11.15
2,3,12,40.92,39.64
3,6,20,22.24,19.29
8,6,20,29.6,29.51
9,1,19,48.2,50.77
7,4,14,53.95,54.75
1,6,12,34.77,37.76
9,3,22,45.75,50.44
8,2,14,23.49,19.06
2,0,20,37.67,41.6
1,1,15,25.83,28.06
8,4,12,28.45,28.02
8,1,22,22.93,24.02
1,1,22,24.96,30.57
10,2,19,15.06,12.42
9,1,20,45.51,51.47
10,5,14,14.87,14.15
8,0,19,19.2,23.48
9,2,20,45.69,49.98
3,6,22,20.48,18.2
5,6,14,41.87,46.9
9,3,20,44.72,50.49
4,2,15,50.53,49.51
8,6,19,29.32,31.36
4,0,16,51.43,47.56
1,6,13,37.35,36.6
9,1,21,48.16,53.14
5,0,15,28.52,35.9
2,5,21,63.82,78.06
4,3,15,49.17,45.91
7,3,22,33.96,38.97
6,4,21,12.57,9.4
8,6,19,27.26,30.07
7,0,15,34.73,34.98
9,4,20,63.95,71.99
4,3,15,50.01,46.35
6,2,21,9.55,15.0
8,3,14,18.61,19.75
3,5,22,20.25,17.44
9,5,12,62.57,58.28
2,6,12,63.46,65.23
4,0,14,50.1,52.96
6,0,21,9.78,11.26
9,4,20,63.14,75.51
5,4,16,45.3,49.55
7,6,14,55.42,55.88
3,1,15,14.22,13.61
6,2,20,11.81,17.06
8,4,15,27.93,29.79
2,5,12,65.81,67.03
9,3,12,43.23,42.46
2,3,20,38.94,44.62
2,4,12,68.2,65.68
10,3,16,12.17,12.94
5,4,12,47.64,47.09
1,1,14,22.63,25.06
7,0,16,35.95,35.97
7,5,22,57.19,61.19
3,6,13,19.98,13.23
1,0,20,25.59,28.86
10,6,20,15.74,20.58
5,6,21,45.08,49.41
7,3,14,33.01,33.43
2,6,16,62.74,66.17
2,2,14,41.8,36.81
3,5,20,20.65,22.52
1,2,21,25.92,27.49
3,0,14,15.8,12.11
9,3,13,45.23,47.3
2,4,19,64.82,65.26
7,3,13,33.1,34.5
4,4,22,81.28,93.18
3,2,16,15.84,14.84
3,3,16,15.82,12.47
2,2,16,39.18,43.75
8,4,15,28.21,26.7
1,3,19,23.77,26.33
6,3,19,11.18,5.78
10,1,16,15.29,9.39
4,3,19,51.36,51.11
6,2,21,9.47,15.77
6,3,16,8.63,11.01
2,4,15,63.97,62.37
9,0,21,44.64,53.36
5,6,13,42.57,46.87
7,5,21,55.98,64.61
5,5,14,42.42,44.04
2,3,21,39.08,43.31
7,4,12,53.63,55.6
9,4,13,63.72,64.46
6,1,12,9.16,6.68
7,6,19,54.66,57.59
1,0,16,27.45,25.73
9,4,15,63.5,60.65
10,5,22,20.24,23.49
8,0,16,21.93,14.48
2,6,14,66.12,63.67
4,4,21,80.55,91.34
8,2,13,22.6,18.58
2,0,19,38.19,37.75
3,5,15,19.81,16.85
6,4,20,11.72,15.55
7,5,14,57.02,56.42
7,0,15,35.5,32.48
1,5,15,37.41,36.15
2,4,13,63.23,65.95
6,2,15,10.31,8.12
8,4,19,26.82,25.18
10,0,19,13.33,10.35
3,6,16,19.02,22.91
3,2,13,15.75,15.09
6,5,14,11.89,9.4
3,4,20,20.81,20.44
9,5,14,62.41,60.27
3,1,19,13.25,16.9
6,0,21,12.09,14.5
9,4,21,63.94,70.0
8,3,14,20.19,20.54
4,2,12,51.84,49.52
3,6,21,18.97,19.06
8,4,22,28.48,33.13
9,6,19,62.34,58.94
8,4,15,27.96,29.16
4,2,12,50.43,47.8
2,3,13,38.91,40.29
10,5,19,14.42,18.21
7,1,14,32.32,36.0
1,4,19,34.59,31.7
3,2,16,16.15,14.52
9,5,13,64.88,65.74
7,0,16,34.42,35.87
3,1,14,12.27,13.87
7,3,14,34.45,33.25
7,3,21,36.22,44.21
2,3,22,37.69,46.0
6,3,21,10.09,11.42
2,5,21,63.26,72.19
2,6,22,67.36,69.5
4,3,16,51.1,49.1
9,4,14,62.3,60.36
6,5,12,12.6,15.36
8,0,13,19.62,21.32
8,0,20,22.19,24.13
3,5,16,22.93,23.14
5,0,19,31.45,29.99
3,0,20,13.29,14.42
4,3,13,49.93,49.97
8,0,14,18.99,17.48
8,0,12,17.4,18.46
7,5,14,55.15,53.21
2,5,13,65.87,66.91
5,1,20,27.52,35.11
3,5,14,20.8,22.93
10,5,14,16.88,12.28
3,3,21,14.51,17.93
2,1,13,39.21,37.92
7,2,14,37.16,35.05
4,4,16,77.74,80.69
5,1,22,29.4,33.23
7,2,12,32.39,35.94
4,3,20,51.15,59.73
10,0,22,11.85,14.1
6,2,14,11.87,6.38
7,2,22,32.68,38.52
2,0,13,40.09,41.74
1,6,20,34.91,36.73
9,6,20,63.7,70.2
9,4,14,64.27,62.63
9,1,14,44.66,42.58
2,2,20,37.12,45.39
1,1,13,24.66,26.1
10,4,12,18.3,14.5
3,0,12,12.75,13.98
3,3,19,14.62,10.68
5,1,19,31.87,33.04
5,5,13,44.64,45.08
7,2,22,35.92,43.88
10,5,13,16.04,13.01
1,3,14,25.85,23.71
2,4,13,66.77,65.4
1,6,12,36.69,35.1
7,1,14,33.76,39.48
9,6,20,64.12,72.75
6,2,13,9.67,8.86
1,1,15,21.01,27.36
7,0,21,33.07,43.12
5,2,13,29.94,29.7
4,2,16,48.88,49.88
6,4,21,11.96,18.12
9,6,15,65.82,66.39
1,1,22,27.36,26.03
1,2,12,23.54,25.14
5,0,15,29.79,28.19
8,0,14,19.36,19.74
4,6,22,81.66,87.46
8,5,13,27.13,25.41
7,0,12,36.54,29.08
4,2,16,47.24,53.38
7,5,19,56.09,54.17
2,1,14,38.05,40.62
3,0,14,15.41,12.94
2,4,19,64.77,66.66
5,3,16,29.48,30.65
5,6,12,47.89,46.07
3,0,15,14.7,17.46
1,5,16,39.58,34.51
1,3,21,24.35,25.78
2,3,13,39.22,40.46
1,0,15,27.05,28.17
6,5,13,11.43,10.32
2,0,13,42.05,41.16
3,0,19,17.49,19.29
1,1,20,23.65,29.84
1,3,20,25.92,29.56
3,2,16,15.28,13.66
10,4,15,14.59,14.23
9,3,12,45.77,47.09
7,1,22,39.8,40.29
9,6,12,62.83,67.35
6,3,22,8.65,11.95
10,4,19,16.61,14.8
6,4,15,12.5,16.48
5,0,21,29.53,30.31
4,1,13,51.11,50.03
9,6,12,59.37,63.54
10,6,20,18.27,15.48
3,1,15,13.51,11.21
6,4,12,10.66,11.33
10,4,14,15.63,14.51
8,4,16,28.37,28.31
1,1,15,25.21,27.83
6,4,15,10.72,12.79
3,6,19,20.31,21.32
3,6,13,17.55,22.83
2,2,20,39.3,44.06
6,1,14,8.4,9.7
8,5,19,31.51,31.02
10,6,19,17.97,16.56
3,3,16,13.75,14.79
3,5,12,18.84,25.78
7,6,12,56.2,55.91
10,1,13,11.68,13.27
2,1,19,39.9,41.51
2,6,19,65.39,63.15
4,5,13,82.13,77.4
1,0,20,25.59,26.34
3,3,21,14.06,18.96
7,0,21,33.09,41.04
4,1,21,51.3,61.82
5,0,19,30.7,29.92
6,1,20,10.5,12.02
2,2,21,38.47,45.25
3,4,20,20.58,23.64
4,1,20,47.73,56.2
9,2,16,45.64,44.67
7,4,22,54.27,64.02
6,0,20,11.46,15.47
10,3,15,12.58,13.4
5,0,21,28.93,35.69
7,3,21,34.28,41.8
9,3,14,46.07,43.31
3,3,12,16.67,14.77
4,6,16,79.66,78.68
2,0,19,38.55,40.92
10,1,22,12.55,16.09
9,3,22,41.75,49.49
10,1,21,13.43,13.04
1,4,22,32.86,41.42
10,1,13,11.49,14.59
3,1,15,16.12,16.84
7,1,14,34.0,35.97
2,0,20,39.34,43.03
5,4,21,44.88,52.09
10,4,22,15.28,18.64
3,1,13,14.12,17.86
2,6,16,62.71,68.47
7,2,20,33.39,38.42
8,0,14,20.83,19.78
10,5,20,16.76,23.49
6,5,15,12.52,14.7
5,2,12,32.27,27.67
5,2,21,28.23,36.89
4,1,16,49.74,52.67
6,2,20,9.6,10.65
8,1,20,17.47,22.76
6,6,12,11.92,10.54
5,5,22,46.49,48.17
9,4,12,65.72,65.35
4,6,12,81.66,80.01
6,5,15,14.76,11.3
9,3,13,43.99,44.22
8,4,21,30.72,34.42
10,4,19,18.37,13.34
5,5,13,46.45,44.46
3,6,15,18.31,22.25
4,2,20,49.75,52.52
1,3,14,23.37,22.96
1,1,16,22.74,20.35
5,3,20,28.66,36.15
4,3,16,47.49,47.94
7,4,13,55.27,64.65
6,4,16,12.68,11.64
2,2,16,37.69,36.85
5,5,16,46.68,46.14
4,0,20,48.08,55.49
1,5,21,34.98,42.19
7,3,20,33.02,39.97
10,6,15,17.98,13.82
9,5,21,61.76,75.56
9,2,14,42.42,47.76
3,2,13,15.45,10.96
9,6,14,61.95,68.06
2,1,19,43.0,40.84
7,6,19,56.44,52.7
8,6,13,28.55,23.07
10,4,13,16.17,14.38
2,6,20,64.71,72.21
3,1,15,18.7,10.94
8,1,19,19.28,21.02
2,3,19,39.31,38.94
1,0,21,27.51,28.13
3,4,14,20.17,15.76
2,1,20,38.87,44.3
8,3,12,20.23,21.62
6,0,19,8.16,10.13
1,5,12,34.19,33.68
6,2,14,11.07,12.36
5,1,13,28.87,30.94
5,3,22,29.22,32.63
3,2,21,15.75,16.23
7,0,15,39.29,36.16
4,5,12,79.51,78.71
6,5,12,13.51,9.47
9,4,12,62.74,62.35
2,5,12,65.22,66.18
8,3,13,19.5,17.29
3,1,12,17.1,13.84
9,2,14,46.57,40.33
9,5,13,65.57,62.11
8,1,15,17.21,20.82
4,2,20,50.41,57.3
8,1,21,20.1,22.91
2,0,21,40.53,46.64
9,0,13,43.79,47.97
8,2,16,20.15,18.88
3,6,12,18.86,21.42
6,3,13,11.42,13.48
